sku,fullName,url,activo,categoria,subcategoria,precio_actual,precio_referencia,stock_actual,tipo_receta,laboratorio,marca,presentacion,composicion,principio_activo,principio_activo_id
129965,"Magnesio + Complejo B Vitaenergy, 20 Tabletas Efervecentes",https://www.farmaloop.cl/products/magnesio-vitamina-b-129965/,true,Suplementos y Vitaminas,Suplementos,2060,3990,0,Venta directa (Sin receta),SOC MEDICA IMPORTADORA Y COMERCIALIZADORA BIOPLUS SPA,,Tabletas,magnesio | vitamina b,"Magnesio,Vitamina B",af44b5f4-cf47-4e81-a992-19f71e734fc4
140132,Magnesio + Complejo B x 20 Tabletas Efervescentes (German Energy),https://www.farmaloop.cl/products/magnesio-complejo-b-x-20-tabletas-efervescentes-german-energy-140132/,true,Suplementos y Vitaminas,Vitaminas y Minerales,3190,3990,0,Venta directa (Sin receta),SOC MEDICA IMPORTADORA Y COMERCIALIZADORA BIOPLUS SPA,GERMAN ENERGY,Tableta,magnesio | complejo b,Magnesio; Complejo B,bdffd877-12b3-4a7d-bbb8-b8621fcffd49
140095,Magnesio + Zinc X 20 Tabletas Efervescentes (German Energy),https://www.farmaloop.cl/products/magnesio-zinc-x-20-tabletas-efervescentes-german-energy-140095/,true,Suplementos y Vitaminas,Vitaminas y Minerales,3190,3990,4,Venta directa (Sin receta),SOC MEDICA IMPORTADORA Y COMERCIALIZADORA BIOPLUS SPA,,Tableta,magnesio | zinc,Magnesio; Zinc,a7607174-6dc6-4179-ad46-2c1f566a3cde
140604,Maqui 300mg x 60 Cápsulas,https://www.farmaloop.cl/products/maqui-300mg-x-60-capsulas-140604/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),SUPLALIM LTDA,,Capsula,maqui,Maqui,3f3d0741-6aaf-4d66-b065-7b9b745888d7
54516,Melatonina 3 mg x 30 Comprimidos,https://www.farmaloop.cl/products/melatonina-3-mg-x-30-comprimidos-54516/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),FARMACEUTICA ESAN LTDA.,,Capsula,,Melatonina,b42e10cf-8ea7-4f0b-bbdf-8b5ad8ef3588
116256,Melatonina 3 mg.,https://www.farmaloop.cl/products/melatonina-3-mg-116256/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),MUNNICH PHARMA MEDICAL LIMITADA,,Capsula,,Melatonina,b42e10cf-8ea7-4f0b-bbdf-8b5ad8ef3588
15062,Melatonina 3mg x 30 Cap,https://www.farmaloop.cl/products/melatonina-3mg-x-30-cap-15062/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),ARAMA NATURAL PRODUCTS DISTRIBUIDORA LIMITADA,,Capsula,,Melatonina,b42e10cf-8ea7-4f0b-bbdf-8b5ad8ef3588
139769,Colonsure x 150 g Polvo Para Solución Oral,https://www.farmaloop.cl/products/colonsure-x-150-g-polvo-para-solucion-oral-139769/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),NUTRAPHARM,,100 g,,"Melisa,Manzanilla,Hinojo,Anis Verde,L.Triptofano",49e4d40e-57b9-46b7-979e-faf6eac16f00
139036,Propoleo Con Miel x 10 Caramelos,https://www.farmaloop.cl/products/propoleo-con-miel-x-10-caramelos-139036/,false,Suplementos y Vitaminas,Suplementos,1000,1330,0,Venta directa (Sin receta),SUPLALIM LTDA,,Unidades,miel de abeja | propoleo,"Miel De Abeja,Propoleo",feebf4cf-542f-4c9d-887c-1f5946022924
139980,Cerebrum Adulto 200 Ml Jarabe De Miel,https://www.farmaloop.cl/products/cerebrum-adulto-200-ml-jarabe-de-miel-139980/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),SIN COMPAÑIA,,100 ml,miel de abejas | jarabe de maiz | lecitina de soya | avena | alfalfa | propilenglicol | acido ascorbico | acido citrico,"Miel de abejas, Jarabe de Maíz, Lecitina de Soya, Avena, Alfalfa, Propilenglicol, Acido Ascórbico, Acido Cítrico",ded358d1-90e4-449f-a658-17661c997b65
140051,Eucapol Adulto Jarabe 200 ml,https://www.farmaloop.cl/products/eucapol-adulto-jarabe-200-ml-140051/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),SIN COMPAÑIA,,100 ml,miel de abejas | jarabe de maiz | propoleo extracto | esencia de eucaliptus | acido citrico | acido ascorbico | propilenglicol.,"Miel de abejas, Jarabe de Maíz, Propóleo extracto, Esencia de Eucaliptus, Acido Cítrico, Acido Ascórbico, Propilenglicol.",6eaa28df-c4dd-4063-ad58-d61405cde07f
100856,Infor x 30 Comprimidos Recubiertos,https://www.farmaloop.cl/products/infor-x-30-comprimidos-recubiertos-100856/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),LABORATORIOS PRATER S A,,Comprimido,multivitaminas,Multivitaminas,6434a584-194d-4680-942c-5cfbdd83ebe9
140812,Shotvit Silver de 60 Comprimidos,https://www.farmaloop.cl/products/shotvit-silver-de-60-comprimidos-140812/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),EUROFARMA CHILE S.A.,,Comprimido,multivitaminas,Multivitaminas,6434a584-194d-4680-942c-5cfbdd83ebe9
140792,Fortotal Senior Multivitamínico Minerales Q-10 Arándanos x 60 Comprimidos,https://www.farmaloop.cl/products/fortotal-senior-multivitaminico-minerales-q10-arandanos-x-60-comprimidos-140792/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),MEDICAL INTERNATIONAL LABORATORIES CORPORATION S.A.,,Comprimido,multivitaminas y minerales,Multivitaminas y Minerales,083667a9-8ce0-4447-b67a-d17db74cd6fc
140793,Fortotal Mujer Multivitaminico x 60 Comprimidos,https://www.farmaloop.cl/products/fortotal-mujer-multivitaminico-x-60-comprimidos-140793/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),MEDICAL INTERNATIONAL LABORATORIES CORPORATION S.A.,,Comprimido,multivitaminas y minerales,Multivitaminas y Minerales,083667a9-8ce0-4447-b67a-d17db74cd6fc
110511,Fortotal Multi-V Mujer x 30 Comprimidos,https://www.farmaloop.cl/products/fortotal-multiv-mujer-x-30-comprimidos-110511/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),MEDICAL INTERNATIONAL LABORATORIES CORPORATION S.A.,,Comprimido,multivitaminas y minerales,Multivitaminas y Minerales,083667a9-8ce0-4447-b67a-d17db74cd6fc
140099,Mini Vitaminas x 20 Tabletas Efervescentes,https://www.farmaloop.cl/products/mini-vitaminas-x-20-tabletas-efervescentes-140099/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),SOC MEDICA IMPORTADORA Y COMERCIALIZADORA BIOPLUS SPA,SWISS ENERGY,Tableta,multivitaminas | calcio,Multivitaminas; Calcio,8a9f381b-3e40-46d3-be57-335b3b04c166
139871,Multi Women Multivitamínico Sunvit 60 Tabletas ,https://www.farmaloop.cl/products/multi-women-multivitaminico-x-60-tabletas-139871/,true,Suplementos y Vitaminas,Vitaminas y Minerales,12650,17990,3,Venta directa (Sin receta),SOC. COM. NLS NUTRALINE SUPLEMENT LTDA.,SUNVIT LIFE,Comprimido,multivitaminico,MULTIVITAMINICO,ab996f99-5c5e-4fec-a78d-3272a119ec9e
140319,Multivitamínico + Probióticos x 60 Comprimidos Masticables,https://www.farmaloop.cl/products/multivitaminico-probioticos-x-60-comprimidos-masticables-140319/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),NUTRAPHARM,,Comprimido,multivitaminico,Multivitaminico,75ef2591-cb14-4472-aea3-ea819583d55e
57063,Centrum Silver Tab Mujer x 61 Comprimidos,https://www.farmaloop.cl/products/centrum-silver-tab-mujer-x-61-comprimidos-57063/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),GLAXOSMITHKLINE CHILE FARMACEUTICA LIMITADA,,Unidad,multivitaminico,multivitamínico,4ad4f4ac-16fd-44ef-b68e-cca0a394058a
15091,Activ Plus x 90 Caps,https://www.farmaloop.cl/products/activ-plus-x-90-caps-15091/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),ARAMA NATURAL PRODUCTS DISTRIBUIDORA LIMITADA,,Capsula,multivitaminico,Multivitaminico,75ef2591-cb14-4472-aea3-ea819583d55e
110509,Fortotal Multi-V Hombre x 30 Comprimidos,https://www.farmaloop.cl/products/fortotal-multiv-hombre-x-30-comprimidos-110509/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),MEDICAL INTERNATIONAL LABORATORIES CORPORATION S.A.,,Comprimido,multivitaminico,Multivitaminico,75ef2591-cb14-4472-aea3-ea819583d55e
129966,Multivitaminico + Biotin,https://www.farmaloop.cl/products/multivitaminico-biotin-129966/,false,Suplementos y Vitaminas,Vitaminas,,,0,Venta directa (Sin receta),SOC MEDICA IMPORTADORA Y COMERCIALIZADORA BIOPLUS SPA,,Tableta,,Multivitaminico,75ef2591-cb14-4472-aea3-ea819583d55e
150255,Fortotal Multi-V Student x 120 Comprimidos Recubiertos ,https://www.farmaloop.cl/products/fortotal-multiv-student-x-120-comprimidos-recubiertos-150255/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),MEDICAL INTERNATIONAL LABORATORIES CORPORATION S.A.,,Comprimido,multivitaminico,Multivitaminico,75ef2591-cb14-4472-aea3-ea819583d55e
150256,Fortotal Multi-V Senior x 120 Comprimidos,https://www.farmaloop.cl/products/fortotal-multiv-senior-x-120-comprimidos-150256/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,32,Venta directa (Sin receta),MEDICAL INTERNATIONAL LABORATORIES CORPORATION S.A.,,Comprimido,multivitaminico,Multivitaminico,75ef2591-cb14-4472-aea3-ea819583d55e
150279,Multivitamínico One Daily x 100 Comprimidos,https://www.farmaloop.cl/products/multivitaminico-one-daily-x-100-comprimidos-150279/,false,Suplementos y Vitaminas,Vitaminas,,,0,Venta directa (Sin receta),MASTERBRANDS,,Comprimido,multivitaminico mg,Multivitaminico,75ef2591-cb14-4472-aea3-ea819583d55e
150280,Multivitamínico One Daily x 365 Tabletas,https://www.farmaloop.cl/products/multivitaminico-one-daily-x-365-tabletas-150280/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),MASTERBRANDS,,Tableta,multivitaminico 300 mg,Multivitaminico,75ef2591-cb14-4472-aea3-ea819583d55e
140705,Centrum Mini Multivitaminico 30 Comprimidos,https://www.farmaloop.cl/products/centrum-mini-x-30-comprimidos-140705/,true,Suplementos y Vitaminas,Vitaminas y Minerales,9990,12290,6,Venta directa (Sin receta),GLAXOSMITHKLINE CHILE FARMACEUTICA LIMITADA,,Comprimido,multivitaminico,Multivitamínico ,b8f0fb97-30ab-424d-9156-335a2a4d16c0
138481,Dvida D3 Vitamina D3 200 UI/GT Gotas 10 mL,https://www.farmaloop.cl/products/dvida-d3-vitamina-d3-200-uigt-gotas-10-ml-138481/,true,Suplementos y Vitaminas,Vitaminas y Minerales,19110,23890,8,Venta directa (Sin receta),LABORATORIOS ANDROMACO S A,,100 ml,niacinamida (vitamina d3) | esteres de poliglicerol interesterificados con acido ricinoleico | saborizante artificial | sucralosa | metilparabeno | acido sorbico | butilhidroxitolueno | propilparabeno | agua desmineralizada | glicerina,"Niacinamida (Vitamina D3),Esteres De Poliglicerol Interesterificados Con Acido Ricinoleico,Saborizante Artificial,Sucralosa,Metilparabeno,Acido Sorbico,Butilhidroxitolueno,Propilparabeno,Agua Desmineralizada,Glicerina",2f7b72d1-c223-4d47-bc0f-848f7cb30c45
48391,Nervoton Jarabe Complejo B,https://www.farmaloop.cl/products/nervoton-jarabe-complejo-b-48391/,false,Suplementos y Vitaminas,Vitaminas,,,0,Presentación receta médica,DROGUERIA FARMOQUIMICA DEL PACIFICO SPA,,100 ml,,"Nicotinamida,Cianocobalamina,Vitaminas B",bee2ab1a-baaf-4800-930a-69e31b5246bd
140359,Fortotal Active Multivitamínico + Minerales x 30 Cápsulas Blandas,https://www.farmaloop.cl/products/fortotal-active-multivitaminico-minerales-x-30-capsulas-blandas-140359/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),MEDICAL INTERNATIONAL LABORATORIES CORPORATION S.A.,,Cápsula,multivitaminico,No aplica,4c75ba9f-7c73-4fb8-82f1-3e19b92377fe
104138,Proteinex Polvo 275 G,https://www.farmaloop.cl/products/proteinex-polvo-275-g-104138/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),LABORATORIOS RECALCINE SA,,100 g,,No aplica,4c75ba9f-7c73-4fb8-82f1-3e19b92377fe
140424,Z-Zincovit Plus Suplemento Alimentario 30 Comprimidos Recubiertos,https://www.farmaloop.cl/products/zzincovit-plus-suplemento-alimentario-30-comprimidos-recubiertos-140424/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),ITF-LABOMED FARMACEUTICA LTDA.,,Comprimido,,no aplica,602de27e-0bb4-4329-ab26-6476d483b37d
140560,"QG5 Psidium Guajava 166,6 mg x 30 Comprimidos",https://www.farmaloop.cl/products/qg5-psidium-guajava-1666-mg-x-30-comprimidos-140560/,true,Suplementos y Vitaminas,Suplementos,13190,14990,1,Venta directa (Sin receta),GENOMMA LAB CHILE S.A.,,Comprimido,,No aplica,4c75ba9f-7c73-4fb8-82f1-3e19b92377fe
101221,Infortin Jarabe Kid Kal 170Ml,https://www.farmaloop.cl/products/infortin-jarabe-kid-kal-170ml-101221/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),LABORATORIOS PRATER S A,,100 ml,,No aplica,4c75ba9f-7c73-4fb8-82f1-3e19b92377fe
140385,Ketocal,https://www.farmaloop.cl/products/ketocal-140385/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),SIN COMPAÑIA,,Tarro,,No aplica,4c75ba9f-7c73-4fb8-82f1-3e19b92377fe
140473,ENTEREX RENAL X 237 ML,https://www.farmaloop.cl/products/enterex-renal-x-237-ml-140473/,false,Suplementos y Vitaminas,Suplementos,,,1,Venta directa (Sin receta),LABORATORIO MEGALABS CHILE S.A.,,100 ml,,No aplica,4c75ba9f-7c73-4fb8-82f1-3e19b92377fe
140350,Centrum Mujer Multivitaminico / Multimineral 30 Comprimidos Recubiertos,https://www.farmaloop.cl/products/centrum-mujer-multivitaminico-multimineral-30-comprimidos-recubiertos-140350/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),GLAXOSMITHKLINE CHILE FARMACEUTICA LIMITADA,,Comprimido,,No aplica,4c75ba9f-7c73-4fb8-82f1-3e19b92377fe
140436,Nat 100 250mg,https://www.farmaloop.cl/products/nat-100-250mg-140436/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),NESTLE CHILE SA,,Tarro,,No aplica,4c75ba9f-7c73-4fb8-82f1-3e19b92377fe
140335,Abintra 27 g,https://www.farmaloop.cl/products/abintra-27-g-140335/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),SIN COMPAÑIA,,100 g,,No Aplica,4d3af0f8-37bc-4a70-bcf9-0a299b46bb97
140186,Gintol 30 Cápsulas,https://www.farmaloop.cl/products/gintol-30-capsulas-140186/,true,Suplementos y Vitaminas,Suplementos,13570,21900,3,Venta directa (Sin receta),LABORATORIOS SAVAL S A,,Capsula,omega 3 | vitaminas | hierro | luteina | acido folico,Omega 3; Vitaminas; Hierro; Luteína; Acido Folico,4809ff89-04cd-412f-8710-4319aa7f3290
105187,Acevit x 30 ml Solución Oral Para Gotas,https://www.farmaloop.cl/products/acevit-x-30-ml-solucion-oral-para-gotas-105187/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,4,Presentación receta médica,LABORATORIOS RECALCINE SA,,100 ml,palmitato de retinol (vitamina a) | ergocalciferol (vitamina d2) | acido ascorbico (vitamina c),"Palmitato De Retinol (Vitamina A),Ergocalciferol (Vitamina D2),Ac.Ascorbico (Vitamina C)",56880ca4-9ef0-4d26-bad4-23fdc48cd72c
140192,Pepa de Calabaza 1000 mg x 30 comprimidos,https://www.farmaloop.cl/products/pepa-de-calabaza-1000-mg-x-30-comprimidos-140192/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),SUPLALIM LTDA,,Comprimido,pepa calabaza,Pepa Calabaza,497809f2-90a9-4e49-be59-89c9bb5d433d
150362,Pepa de Calabaza x 60 Capsulas Blandas,https://www.farmaloop.cl/products/pepa-de-calabaza-x-60-capsulas-blandas-150362/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),LABORATORIO SCL,,Cápsula,pepa calabaza,Pepa Calabaza,497809f2-90a9-4e49-be59-89c9bb5d433d
140213,Picoprep 2 Sobres (Sabor Naranja),https://www.farmaloop.cl/products/picoprep-2-sobres-sabor-naranja-140213/,false,Suplementos y Vitaminas,Suplementos,23900,28299,0,Presentación receta médica,FERRING PRODUCTOS FARMACEUTICOS Spa,,Sobre,picosulfato sodico | oxido de magnesio ligero | acido citrico anhidro,Picosulfato Sódico; Óxido de Magnesio Ligero; Ácido Cítrico Anhidro,2be3bd27-0798-4ff9-8ea7-ecbecbd67dd9
139820,Aminoxine Plus x 60 Capsulas,https://www.farmaloop.cl/products/aminoxine-plus-x-60-capsulas-139820/,true,Suplementos y Vitaminas,Vitaminas y Minerales,12890,15690,0,Venta directa (Sin receta),EUROFARMA CHILE S.A.,FARMADEL,Capsula,piridoxina (vitamina b6) | acido pantotenico (vitamina b5) | biotina (vitamina b7) | zinc | l-metionina | l-cisteina,"Piridoxina (Vitamina B6),Acido Pantotenico (Vitamina B5),Biotina (Vitamina B7),Zinc,L-Metionina,L-Cisteina",22c066d4-d2aa-4c85-823c-72f6df766534
140291,Propoleo Eucaliptus Caramelos X10 (Suplalim),https://www.farmaloop.cl/products/propoleo-eucaliptus-caramelos-x10-suplalim-140291/,false,Suplementos y Vitaminas,Suplementos,1000,1590,0,Venta directa (Sin receta),SUPLALIM LTDA,,Caramelo,propoleo,Propoleo,d97f3961-3802-4712-a497-8988ec4e1f76
127095,Propoleo- C Forte x 60 Cápsulas,https://www.farmaloop.cl/products/propoleo-capsulas-127095/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),SUPLALIM LTDA,,Cápsula,,Propoleo,d97f3961-3802-4712-a497-8988ec4e1f76
138678,SpinuChía 650 mg x 60 Capsulas,https://www.farmaloop.cl/products/spinuchia-650-mg-x-60-capsulas-138678/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),VITAL AND YOUNG,,Capsula,proteina microalga espirulina arthrospira maxima | fibra inulina soluble cichorium intybus | semilla de chia en polvo salvia hispanica l,"Proteina Microalga Espirulina Arthrospira Maxima,Fibra Inulina Soluble Cichorium Intybus, Semilla De Chia En Polvo Salvia Hispanica L",eeb4359e-3253-40a0-81e8-2c74b1e9c784
90422,Pilexil Cápsulas 50 unidades – tratamiento para la caída del cabello,https://www.farmaloop.cl/products/pilexil-capsulas-90422/,true,Suplementos y Vitaminas,Suplementos,21900,27390,1,Venta directa (Sin receta),LABORATORIO BAGO DE CHILE S.A.,,Unidad,,Proteinas,89782c68-00ad-478c-b9e5-a2d169c2b017
89515,Maltin Sopa De Malta,https://www.farmaloop.cl/products/maltin-sopa-de-malta-89515/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),LAB.RECCIUS LTDA.,,Unidad,,"Proteinas,Minerales,Maltosa,Glucosa,Dextrina",9d772470-b996-4c6a-b9f2-767730118d15
8210,Ensure Plus Vainilla Rpb x 220 ml,https://www.farmaloop.cl/products/ensure-plus-vainilla-rpb-x-220-ml-8210/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),ABBOTT LABORATORIES DE CHILE LTDA.,,Unidad,,"Proteinas,Minerales,Vitaminas",9121cf06-2a34-4bff-9d32-351fd6184ed7
104197,Ensoy Mini x 400 Chocolate,https://www.farmaloop.cl/products/ensoy-mini-x-400-chocolate-104197/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),LABORATORIOS RECALCINE SA,,Unidad,,"Proteinas,Vitaminas,Minerales",fe0c5e33-b2cc-42be-945a-2f24e7056701
104195,Ensoy Diabético x 400 Vainilla,https://www.farmaloop.cl/products/ensoy-diabetico-x-400-vainilla-104195/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),LABORATORIOS RECALCINE SA,,Unidad,,"Proteinas,Vitaminas,Minerales",fe0c5e33-b2cc-42be-945a-2f24e7056701
99674,Alim.P/Control Del Peso Sabor Chocolate,https://www.farmaloop.cl/products/alimpcontrol-del-peso-sabor-chocolate-99674/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),LABORATORIO MEGALABS CHILE S.A.,,Unidad,,"Proteinas,Vitaminas,Minerales",fe0c5e33-b2cc-42be-945a-2f24e7056701
104194,Ensoy Diabético x 400 Fresas,https://www.farmaloop.cl/products/ensoy-diabetico-x-400-fresas-104194/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),LABORATORIOS RECALCINE SA,,Unidad,,"Proteinas,Vitaminas,Minerales",fe0c5e33-b2cc-42be-945a-2f24e7056701
104201,Ensoy Adulto x 1000 Vainilla,https://www.farmaloop.cl/products/ensoy-adulto-x-1000-vainilla-104201/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),LABORATORIOS RECALCINE SA,,Unidad,,"Proteinas,Vitaminas,Minerales",fe0c5e33-b2cc-42be-945a-2f24e7056701
104198,Ensoy Mini x 400 Fresas,https://www.farmaloop.cl/products/ensoy-mini-x-400-fresas-104198/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),LABORATORIOS RECALCINE SA,,Unidad,,"Proteinas,Vitaminas,Minerales",fe0c5e33-b2cc-42be-945a-2f24e7056701
139868,CN Diabetic 400g,https://www.farmaloop.cl/products/cn-diabetic-400g-139868/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),GLOBAL FOODS SPA,,Frascos,proteinas | omega 3 | fibra,Proteinas;Omega 3;Fibra,ef40b342-5ae9-4d06-89d2-3676dcce56cb
138344,Natabec x 30 Capsulas,https://www.farmaloop.cl/products/natabec-x-30-capsulas-138344/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Presentación receta médica,LABORATORIOS SILESIA SA,,Capsula,retinol(a) | ergocalciferol(d2) | tiamina(b1) | riboflavina(b2) | piridoxina(b6) | acido ascorbico (c) | nicotinamina(b3) | cianocobalamina(b12) | acido folico(b9) | mineral oil | rosado opaco | color carmin | titanio dioxido | azul opaco | color fd&c azul 1 | minerales,"Retinol(A),Ergocalciferol(D2),Tiamina(B1),Riboflavina(B2),Piridoxina(B6),Ac.Ascorbico (C),Nicotinamina(B3),Cianocobalamina(B12),Ac.Folico(B9),Mineral Oil,Rosado Opaco,Color Carmin,Titanio Dioxido,Azul Opaco,Color Fd&C Azul 1,Minerales",f18ae5b9-550b-406a-8fad-644a4abc16c0
139700,Centrum Hombre Multivitamínico 60 Comprimidos,https://www.farmaloop.cl/products/centrum-hombre-x-60-comprimidos-139700/,true,Suplementos y Vitaminas,Vitaminas y Minerales,16190,22095,3,Venta directa (Sin receta),GLAXOSMITHKLINE CHILE FARMACEUTICA LIMITADA,,Comprimido,retinol(vit a) | calciferol(vit d) | ac ascorbico(vit c) | alfatocoferol(vit e) | fitomenadiona(vit k) | tiamina(b1) | riboflavina(b2) | niacina(b3) | piridoxina(b6) | cianocobalamina(b12) | ac folico(b9) | ac pantotenico(b5) | biotina (vit h) | minerales segun rotulado,"Retinol(Vit A),Calciferol(Vit D),Ac Ascorbico(Vit C),Alfatocoferol(Vit E),Fitomenadiona(Vit K),Tiamina(B1),Riboflavina(B2),Niacina(B3),Piridoxina(B6),Cianocobalamina(B12),Ac Folico(B9),Ac Pantotenico(B5),Biotina (Vit H),Minerales Segun Rotulado",d4f8cd10-c93f-4442-a3a0-b07ddf293ae4
138559,Centrum Hombre Multivitamínico 30 Comprimidos,https://www.farmaloop.cl/products/centrum-hombre-x-30-comprimidos-138559/,true,Suplementos y Vitaminas,Vitaminas y Minerales,11990,16390,6,Venta directa (Sin receta),GLAXOSMITHKLINE CHILE FARMACEUTICA LIMITADA,,Comprimido,retinol(vit a) | calciferol(vit d) | ac ascorbico(vit c) | alfatocoferol(vit e) | fitomenadiona(vit k) | tiamina(b1) | riboflavina(b2) | niacina(b3) | piridoxina(b6) | cianocobalamina(b12) | ac folico(b9) | ac pantotenico(b5) | biotina (vit h) | minerales segun rotulado,"Retinol(Vit A),Calciferol(Vit D),Ac Ascorbico(Vit C),Alfatocoferol(Vit E),Fitomenadiona(Vit K),Tiamina(B1),Riboflavina(B2),Niacina(B3),Piridoxina(B6),Cianocobalamina(B12),Ac Folico(B9),Ac Pantotenico(B5),Biotina (Vit H),Minerales Segun Rotulado",d4f8cd10-c93f-4442-a3a0-b07ddf293ae4
138957,Centrum Mujer Multivitamínico 30 comprimidos,https://www.farmaloop.cl/products/centrum-mujer-x-30-comprimidos-138957/,true,Suplementos y Vitaminas,Vitaminas y Minerales,9990,17340,2,Venta directa (Sin receta),GLAXOSMITHKLINE CHILE FARMACEUTICA LIMITADA,,Comprimido,retinol(vit a) | calciferol(vit d) | alfatocoferol(vit e) | fitomenadiona(vit k) | ac ascorbico(vit c) | tiamina(b1) | riboflavina(b2) | niacina(b3) | piridoxina(b6) | cianocobalamina(b12) | ac folico(b9) | ac pantotenico(b5) | biotina(vit h) | minerales segun rotulado,"Retinol(Vit A),Calciferol(Vit D),Alfatocoferol(Vit E),Fitomenadiona(Vit K),Ac Ascorbico(Vit C),Tiamina(B1),Riboflavina(B2),Niacina(B3),Piridoxina(B6),Cianocobalamina(B12),Ac Folico(B9),Ac Pantotenico(B5),Biotina(Vit H),Minerales Segun Rotulado",96c0a769-a2b7-4709-8e31-68c8f7c467b0
138560,Centrum Mujer 60 Comprimidos,https://www.farmaloop.cl/products/centrum-mujer-x-60-comprimidos-138560/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),GLAXOSMITHKLINE CHILE FARMACEUTICA LIMITADA,,Comprimido,retinol(vit a) | calciferol(vit d) | alfatocoferol(vit e) | fitomenadiona(vit k) | ac ascorbico(vit c) | tiamina(b1) | riboflavina(b2) | niacina(b3) | piridoxina(b6) | cianocobalamina(b12) | ac folico(b9) | ac pantotenico(b5) | biotina(vit h) | minerales segun rotulado,"Retinol(Vit A),Calciferol(Vit D),Alfatocoferol(Vit E),Fitomenadiona(Vit K),Ac Ascorbico(Vit C),Tiamina(B1),Riboflavina(B2),Niacina(B3),Piridoxina(B6),Cianocobalamina(B12),Ac Folico(B9),Ac Pantotenico(B5),Biotina(Vit H),Minerales Segun Rotulado",96c0a769-a2b7-4709-8e31-68c8f7c467b0
